# cluster-0 vocabulary, load-bearing study, generated 2026-08-31
# 467387 pull requests, 52506137 words, 602 days
# https://louisabraham.github.io/load-bearing/
# rank	lift	category	word
360	7.84		hands
361	7.83	tally	four
362	7.79		tonight
363	7.79		hand-maintained
364	7.79		post-fix
365	7.79		rises
366	7.79		siblings
367	7.78		stashed
368	7.78		riding
369	7.78		surfaced
370	7.76		trap
371	7.75		grepped
372	7.74		retiring
373	7.74		billed
374	7.7		sibling
375	7.69		stated
376	7.66		deduped
377	7.66		hand-built
378	7.63		brand-new
379	7.61		predating
380	7.61		widest
381	7.61		assumed
382	7.61		drifts
383	7.6		unreadable
384	7.59		drained
385	7.57		planted
386	7.57		costing
387	7.57		sideways
388	7.56		consults
389	7.54		glyph
390	7.54		lifted
391	7.54		wholesale
392	7.53		claimed
393	7.52		harmless
394	7.5		payoff
395	7.5		underneath
396	7.5		collided
397	7.47		unbuilt
398	7.46		drops
399	7.45		unmodified
400	7.43	coinage	re-checks
401	7.43		trusting
402	7.43		recorded
403	7.42		empties
404	7.42		hand-off
405	7.41		demoted
406	7.38		double-count
407	7.38		vanishing
408	7.36		every
409	7.35		mid-session
410	7.34	coinage	byte-identically
411	7.34		flipping
412	7.34		relabelled
413	7.33		chasing
414	7.33		eyeball
415	7.31		saying
416	7.3		flagged
417	7.28		stops
418	7.28		screenshotted
419	7.28		wedges
420	7.28		reads
421	7.28		today
422	7.27		reproduced
423	7.25		taught
424	7.24		proves
425	7.24		discrimination
426	7.23		weaker
427	7.22		roughly
428	7.21		deserves
429	7.21		hiccup
430	7.2		loser
431	7.2		stating
432	7.2		fall-through
433	7.18		demanded
434	7.18		recovers
435	7.18		readout
436	7.17		recomputes
437	7.15		sweeps
438	7.14		keying
439	7.14		tripped
440	7.12		absorbed
441	7.12		went
442	7.09		theirs
443	7.09		steady
444	7.07		visibly
445	7.07	coinage	re-pointed
446	7.07		handing
447	7.07		literally
448	7.06		hedge
449	7.06		narrower
450	7.05		decodes
451	7.05		row
452	7.05		declares
453	7.04		outlive
454	7.03		stamp
455	7.03		headline
456	7.03		diverge
457	7.02		stand-in
458	7.02		mid-run
459	7.02		repointed
460	7.02		forbids
461	7.02		destroys
462	6.99		back-to-back
463	6.98		no-ops
464	6.97		same-named
465	6.96		verdict
466	6.95		citing
467	6.93		sanctioned
468	6.93		snapped
469	6.93		invents
470	6.93		mid-sentence
471	6.92		framed
472	6.91		narrows
473	6.91		verdicts
474	6.9		unnoticed
475	6.89		clamps
476	6.87		belongs
477	6.87		directions
478	6.86		ours
479	6.85	agency	beat
480	6.84		inventing
481	6.83		repointing
482	6.82		affordance
483	6.8		derives
484	6.79		tripwire
485	6.78		dead-end
486	6.78		headlessly
487	6.78	agency	refuse
488	6.78		corpus
489	6.77		traced
490	6.73		near-identical
491	6.71		yields
492	6.69		wall
493	6.69		aug
494	6.68		retargets
495	6.68		iff
496	6.67		shrinks
497	6.67		drags
498	6.66		backs
499	6.65		wiped
500	6.65	rhetoric	matters
501	6.64		ratified
502	6.64		capped
503	6.63		firing
504	6.62	figure	land
505	6.62		climb
506	6.62		defensible
507	6.62		orphans
508	6.61		absorbs
509	6.61		ships
510	6.61		knob
511	6.6		killed
512	6.6		reworded
513	6.59		teeth
514	6.58		diverges
515	6.58	agency	own
516	6.58		cap
517	6.58		recognised
518	6.58		normalised
519	6.58		wipes
520	6.55		tie-break
521	6.55		collides
522	6.55		phantom
523	6.54		colliding
524	6.54		nulled
525	6.54		grows
526	6.53		flip
527	6.53		honesty
528	6.53		crossing
529	6.53		believed
530	6.52		discarded
531	6.51	tally	two
532	6.51		ties
533	6.5		happened
534	6.5		collide
535	6.49		fence
536	6.49		shrank
537	6.49		strongest
538	6.48		converges
539	6.48		plausible
540	6.48		in-flight
541	6.47		fleet-wide
542	6.47		now-dead
543	6.46		aborts
544	6.46		repaint
545	6.46		predate
546	6.46		knew
547	6.46		quad
548	6.45		speaks
549	6.42		distinguishable
550	6.42	agency	knows
551	6.42		survivors
552	6.42		quiet
553	6.41		converged
554	6.4		strand
555	6.37		round-trips
556	6.37		unmarked
557	6.37	tally	three
558	6.37		latched
559	6.36	agency	owns
560	6.35		honour
561	6.35		clobbered
562	6.32		divergence
563	6.3		gated
564	6.3		seats
565	6.29		burned
566	6.28		fan-out
567	6.28		latch
568	6.28		analogue
569	6.27		on-device
570	6.27		anywhere
571	6.27		unverifiable
572	6.26		climbs
573	6.25		vanishes
574	6.25		defeated
575	6.24		predated
576	6.23		benign
577	6.23	coinage	re-runs
578	6.22		orthogonal
579	6.2		incidental
580	6.19		wearing
581	6.19	coinage	re-confirmed
582	6.18		tier-2
583	6.17		reap
584	6.16		mutants
585	6.15		consulted
586	6.15		touches
587	6.15		deciding
588	6.15		crossed
589	6.15		reached
590	6.15		overstated
591	6.15		remembering
592	6.14		driving
593	6.14		findable
594	6.13		narrowed
595	6.13		stall
596	6.13		puts
597	6.12		shaped
598	6.1		derivable
599	6.09		kills
600	6.09		engages
601	6.08		escalates
602	6.08		picks
603	6.06		sequenced
604	6.06		clobber
605	6.04		per-turn
606	6.04		burst
607	6.04		accident
608	6.04		belonged
609	6.04		per-cell
610	6.04		clamped
611	6.03		unaffected
612	6.03		unproven
613	6.03		replayed
614	6.03		bands
615	6.03		claude-session
616	6.02		polled
617	6.02		grepping
618	6.02		swallow
619	6.01		adversarially
620	6.01		arming
621	6.01		deferral
622	6.01		grown
623	6.0		unconditionally
624	6.0		evicts
625	6.0		non-vacuous
626	5.99		roster
627	5.99		mechanically
628	5.98		defence
629	5.97		pins
630	5.97		wall-clock
631	5.96		identical
632	5.96		steer
633	5.95		acted
634	5.95		hypothetical
635	5.95		staleness
636	5.95		its
637	5.95		mirroring
638	5.93		rep
639	5.93		gap
640	5.92	figure	stay
641	5.92		bounced
642	5.92		unfixed
643	5.91		centre
644	5.91		regen
645	5.89		permanently
646	5.88		short-circuits
647	5.88		chip
648	5.88	agency	honored
649	5.88		invariant
650	5.87		authed
651	5.87		mid-stream
652	5.86		twice
653	5.86		shape
654	5.86		greps
655	5.86		grandfathered
656	5.86		separable
657	5.85		levers
658	5.85		traded
659	5.85		onto
660	5.85		past
661	5.84		third
662	5.84		choke
663	5.84		weigh
664	5.84		dial
665	5.84	figure	arrive
666	5.83		seeded
667	5.83		ratchet
668	5.83		wrong
669	5.82		conflated
670	5.82		traps
671	5.81		dormant
672	5.81	tally	ten
673	5.8		invisible
674	5.8		afterwards
675	5.8		awaits
676	5.8	agency	say
677	5.8	coinage	re-ran
678	5.79		heard
679	5.79		tolerates
680	5.79	figure	folding
681	5.79	figure	reach
682	5.78		figures
683	5.77		compounding
684	5.77	coinage	pre-change
685	5.77		whole-branch
686	5.76		dropping
687	5.76		hand-authored
688	5.75		escalated
689	5.75		coincidence
690	5.74		pair
691	5.74		itself
692	5.71		became
693	5.71		amendment
694	5.71		drifting
695	5.7		contradiction
696	5.7		anchored
697	5.7		tells
698	5.69		survivor
699	5.68		silent
700	5.68		gauntlet
701	5.68		observes
702	5.67		paying
703	5.67		reaching
704	5.67		reaper
705	5.67		unconditional
706	5.67	coinage	re-running
707	5.67	figure	ride
708	5.66		dated
709	5.66	agency	earned
710	5.66		unfiltered
711	5.66		unresolvable
712	5.66		charged
713	5.65		reps
714	5.64		mislabeled
715	5.64		stamping
716	5.64		goes
717	5.63		steady-state
718	5.63		hand-edited
719	5.63		serialises
720	5.62		watched
721	5.62		-only
722	5.62		jumped
723	5.61		per-line
724	5.6		no-op
725	5.59		seat
726	5.59		leaked
727	5.59		faithfully
728	5.59	agency	reclaimed
729	5.59		rider
730	5.58		absent
731	5.58		scrollback
732	5.58		threaded
733	5.58		echoes
734	5.57	cut	legitimate
735	5.57		framing
736	5.57		aged
737	5.57		follow-on
738	5.57		forgets
739	5.57		tiebreak
740	5.57		vanish
741	5.56		disjoint
742	5.56		leans
743	5.56		fitted
744	5.55		headroom
745	5.55		spelled
746	5.54		vocabulary
747	5.53		cheapest
748	5.53		demotion
749	5.53		staying
750	5.53		unrecoverable
751	5.52		bound
752	5.52		filing
753	5.52		echoed
754	5.52		tolerated
755	5.52		twins
756	5.51		replays
757	5.51		reuses
758	5.51		spine
759	5.51	coinage	re-check
760	5.49		declared
761	5.49		centres
762	5.49		mirrors
763	5.48		residual
764	5.48		disc
765	5.48		lifts
766	5.47		mistaken
767	5.47		pristine
768	5.46		guessing
769	5.45		enumerates
770	5.45		criterion
771	5.45		attributable
772	5.44		coarse
773	5.43		wrongly
774	5.41		retired
775	5.41	agency	hold
776	5.41		relaunch
777	5.4		read-back
778	5.4	agency	answers
779	5.39		attributed
780	5.38		provable
781	5.38		round-trip
782	5.37		one-line
783	5.36		touched
784	5.36		mine
785	5.35		fights
786	5.35		reserves
787	5.34		teaches
788	5.34		catches
789	5.33		defeating
790	5.33		ramp
791	5.33		corroboration
792	5.33		reconciles
793	5.32	agency	reaps
794	5.32		warns
795	5.32		trips
796	5.32		rewritten
797	5.32		evict
798	5.31		unanswered
799	5.31		pane
800	5.31		clipped
801	5.3	agency	drain
802	5.3	coinage	bit-exact
803	5.3		feeding
804	5.3		starved
805	5.3		against
806	5.3		exemption
807	5.3		enumerated
808	5.3		newest-first
809	5.29		colour
810	5.29		converge
811	5.29		recur
812	5.29		data-loss
813	5.28		rows
814	5.28		cheaper
815	5.28		per-layer
816	5.28		second
817	5.28		one-sided
818	5.28	coinage	pre-registered
819	5.28		reproducing
820	5.28		legible
821	5.28		net-new
822	5.27		per-type
823	5.27		denominator
824	5.26		read-side
825	5.26		reverses
826	5.26		arrival
827	5.25	agency	judges
828	5.25		green
829	5.24		lying
830	5.23		bakes
831	5.23		reopens
832	5.23		hop
833	5.23		advertises
834	5.22		corridor
835	5.22		materializes
836	5.22		composes
837	5.22		probe
838	5.22		rail
839	5.22		thing
840	5.21		blip
841	5.21		heads-up
842	5.19		misses
843	5.19		than
844	5.19		dominant
845	5.19		weakened
846	5.18		403s
847	5.18		overflowed
848	5.18		wakes
849	5.17		answer
850	5.16		ends
851	5.16		clobbers
852	5.16		baked
853	5.16		waited
854	5.16		fable
855	5.15		truncates
856	5.15		exempt
857	5.15	agency	settling
858	5.15		offending
859	5.14		corroborated
860	5.14		hand
861	5.14		stranding
862	5.14		withdrawn
863	5.13		spot-checked
864	5.12		money
865	5.12		moot
866	5.12		predicted
867	5.11	figure	fire
868	5.11		trade-off
869	5.11		prescribed
870	5.11		counterpart
871	5.11		vocabularies
872	5.1		axis
873	5.1		round
874	5.1		gave
875	5.09		slot
876	5.09		whatever
877	5.09	agency	decline
878	5.09		sas
879	5.09		silence
880	5.09		dedup
881	5.09		rulings
882	5.09		opener
883	5.08		residue
884	5.08		driven
885	5.08		repaints
886	5.08		—
887	5.07		credited
888	5.07		cross-checked
889	5.06		matched
890	5.06	coinage	bit-for-bit
891	5.06		raced
892	5.06		sustained
893	5.05		per-event
894	5.05		differ
895	5.04		diverged
896	5.04		on-disk
897	5.04		holes
898	5.03		fraction
899	5.03		reclassified
900	5.03	coinage	re-applied
901	5.02	figure	arm
902	5.02		unexplained
903	5.02		synchronously
904	5.02		server-rendered
905	5.01		happily
906	5.01		differed
907	5.0		advertised
908	5.0		enclosing
909	5.0		interleaved
910	5.0		tier-1
911	5.0		-prefixed
912	5.0		doubles
913	4.99		per-row
914	4.99		subtree
915	4.99	rhetoric	judgment
916	4.99		cadence
917	4.99		evicted
918	4.99		worst-case
919	4.99		showed
920	4.98		leaf
921	4.98	coinage	self-heal
922	4.98		exempts
923	4.98		degrade
924	4.98		sigkill
925	4.98		weakest
926	4.98		finding
927	4.98		grounded
928	4.98		marginal
929	4.97		sentence
930	4.97		well-formed
931	4.97		trusts
932	4.97		frees
933	4.96		outward
934	4.96		squeezed
935	4.96		sweeper
936	4.95		cold
937	4.95		unusable
938	4.94		high-water
939	4.94		fills
940	4.93		adopts
941	4.93		still-open
942	4.93		pointed
943	4.93		substance
944	4.93		all-zero
945	4.93		interleave
946	4.93		racing
947	4.93		saturated
948	4.92		unbounded
949	4.92		sub-second
950	4.92		keeps
951	4.92		collapsing
952	4.92		lockstep
953	4.91		caller-supplied
954	4.91		inverts
955	4.91	coinage	re-validated
956	4.91		noun
957	4.89		agreeing
958	4.89	coinage	re-fire
959	4.89		allow-list
960	4.89		emits
961	4.89	coinage	re-reading
962	4.88		superset
963	4.88	coinage	re-opens
964	4.88		walker
965	4.88		literal
966	4.88		pixel-identical
967	4.87	figure	park
968	4.87		arity
969	4.87		hops
970	4.86		divergences
971	4.86		keystroke
972	4.86		demotes
973	4.86		wipe
974	4.85		repoints
975	4.85		remount
976	4.85		three-way
977	4.85		differs
978	4.84		floors
979	4.84		minus
980	4.84		adopted
981	4.84		inflate
982	4.84		all-or-nothing
983	4.84		transcribed
984	4.83		ink
985	4.83		shelf
986	4.83		stashing
987	4.82		early-returns
988	4.82		loosening
989	4.82		turn
990	4.81		degenerate
991	4.81		dominates
992	4.81		dispatched
993	4.8		resumed
994	4.8		varies
995	4.8		everywhere
996	4.8		comes
997	4.8		unlinked
998	4.79		emptied
999	4.79		tall
